Date;1619 - Minimum wage - c.m.u.;1785 - Monetary base - Monetary base (working day balance average) - c.m.u. (thousand);3546 - International reserves - Total - monthly - US$ (million);22701 - Current account - monthly - net - US$ (million);28544 - Real effective overall earnings - R$ (million);29023 - Households gross disposable national income (3-months moving average) - R$ (million);29027 - Households gross disposable national income (deflated by IPCA, seasonally adjusted, 3-months moving average) - R$ (million)
10/2003;240.00 ;59,215,531 ;54,093 ;-99.9 ;-;96,072 ;295,161
11/2003;240.00 ;60,982,751 ;54,427 ;-361.1 ;-;97,155 ;295,496
12/2003;240.00 ;70,801,557 ;49,296 ;167.2 ;-;100,472 ;297,006
01/2004;240.00 ;70,814,643 ;53,261 ;514.6 ;-;101,346 ;298,275
02/2004;240.00 ;68,765,803 ;52,960 ;50.2 ;-;100,872 ;300,456
03/2004;240.00 ;66,759,470 ;51,612 ;539.4 ;-;99,009 ;302,105
04/2004;240.00 ;68,066,959 ;50,498 ;-934.1 ;-;98,825 ;304,968
05/2004;260.00 ;68,595,174 ;50,540 ;1,254.6 ;-;100,363 ;307,303
06/2004;260.00 ;70,769,103 ;49,805 ;1,754.7 ;-;103,925 ;308,691
07/2004;260.00 ;72,028,669 ;49,666 ;1,529.1 ;-;107,382 ;309,386
08/2004;260.00 ;72,519,510 ;49,594 ;1,506.8 ;-;109,612 ;310,943
09/2004;260.00 ;73,197,910 ;49,496 ;1,491.5 ;-;108,717 ;311,745
10/2004;260.00 ;75,866,183 ;49,416 ;782.4 ;-;109,638 ;314,307
11/2004;260.00 ;76,977,791 ;50,133 ;-467.8 ;-;110,206 ;313,059
12/2004;260.00 ;87,343,874 ;52,935 ;937.9 ;-;113,915 ;313,885
01/2005;260.00 ;85,984,255 ;54,022 ;630.6 ;-;113,470 ;310,685
02/2005;260.00 ;82,910,776 ;59,017 ;-47.9 ;-;113,090 ;313,867
03/2005;260.00 ;81,420,998 ;61,960 ;1,562.3 ;-;110,173 ;312,865
04/2005;260.00 ;80,463,962 ;61,591 ;555.1 ;-;109,564 ;314,102
05/2005;300.00 ;80,407,772 ;60,709 ;343.1 ;-;110,656 ;314,307
06/2005;300.00 ;80,239,414 ;59,885 ;1,070.5 ;-;114,758 ;316,593
07/2005;300.00 ;82,518,935 ;54,688 ;2,344.4 ;-;118,490 ;318,723
08/2005;300.00 ;82,073,782 ;55,076 ;544.8 ;-;119,931 ;319,609
09/2005;300.00 ;82,689,592 ;57,008 ;2,157.7 ;-;118,746 ;320,190
10/2005;300.00 ;83,855,189 ;60,245 ;667.5 ;-;119,055 ;320,906
11/2005;300.00 ;85,139,078 ;64,277 ;1,526.6 ;-;122,363 ;326,651
12/2005;300.00 ;98,306,431 ;53,799 ;324.7 ;-;125,160 ;324,959
01/2006;300.00 ;96,654,680 ;56,924 ;-532.1 ;-;126,811 ;327,727
02/2006;300.00 ;92,458,052 ;57,415 ;412.0 ;-;123,864 ;325,925
03/2006;300.00 ;90,484,082 ;59,824 ;1,063.4 ;-;121,553 ;326,930
04/2006;350.00 ;90,925,662 ;56,552 ;-94.5 ;-;119,280 ;325,320
05/2006;350.00 ;90,757,357 ;63,381 ;174.9 ;-;121,330 ;328,973
06/2006;350.00 ;93,789,636 ;62,670 ;377.7 ;-;125,350 ;332,032
07/2006;350.00 ;95,527,911 ;66,819 ;2,818.4 ;-;129,265 ;334,893
08/2006;350.00 ;96,009,219 ;71,478 ;1,917.2 ;-;130,384 ;334,953
09/2006;350.00 ;100,473,756 ;73,393 ;2,002.1 ;-;131,432 ;340,638
10/2006;350.00 ;101,903,222 ;78,171 ;1,296.0 ;-;132,446 ;343,854
11/2006;350.00 ;104,882,265 ;83,114 ;1,133.7 ;-;135,888 ;350,482
12/2006;350.00 ;118,304,485 ;85,839 ;205.2 ;-;137,059 ;345,080
01/2007;350.00 ;116,327,953 ;91,086 ;-638.4 ;-;138,784 ;348,212
02/2007;350.00 ;111,951,118 ;101,070 ;114.1 ;-;137,364 ;351,106
03/2007;350.00 ;109,023,124 ;109,531 ;-0.8 ;-;136,640 ;356,578
04/2007;380.00 ;110,694,050 ;121,830 ;1,533.7 ;-;135,607 ;358,980
05/2007;380.00 ;111,301,277 ;136,419 ;-477.1 ;-;137,528 ;361,368
06/2007;380.00 ;113,194,939 ;147,101 ;151.6 ;-;140,629 ;361,307
07/2007;380.00 ;116,457,837 ;155,910 ;-1,226.5 ;-;143,876 ;360,693
08/2007;380.00 ;117,425,227 ;161,097 ;945.7 ;-;145,931 ;361,400
09/2007;380.00 ;123,180,629 ;162,962 ;216.6 ;-;146,602 ;364,407
10/2007;380.00 ;124,344,973 ;167,867 ;-568.3 ;-;147,640 ;367,958
11/2007;380.00 ;127,392,938 ;177,060 ;-1,927.9 ;-;150,078 ;371,278
12/2007;380.00 ;143,642,044 ;180,334 ;-876.5 ;-;155,449 ;375,275
01/2008;380.00 ;141,857,783 ;187,507 ;-5,083.6 ;-;156,203 ;375,789
02/2008;380.00 ;132,524,250 ;192,902 ;-2,376.4 ;-;155,125 ;379,360
03/2008;415.00 ;130,810,977 ;195,232 ;-4,695.3 ;-;150,521 ;375,499
04/2008;415.00 ;131,319,717 ;195,767 ;-3,459.4 ;-;150,887 ;380,783
05/2008;415.00 ;132,658,230 ;197,906 ;-1,374.6 ;-;154,112 ;384,886
06/2008;415.00 ;131,066,791 ;200,827 ;-3,280.0 ;-;159,390 ;388,890
07/2008;415.00 ;134,668,890 ;203,562 ;-3,587.6 ;-;165,289 ;391,386
08/2008;415.00 ;133,935,197 ;205,116 ;-1,727.3 ;-;168,947 ;393,772
09/2008;415.00 ;137,544,332 ;206,494 ;-3,322.1 ;-;169,812 ;395,993
10/2008;415.00 ;139,816,251 ;197,229 ;-1,745.5 ;-;169,602 ;397,484
11/2008;415.00 ;130,600,225 ;194,668 ;-1,481.8 ;-;171,949 ;399,871
12/2008;415.00 ;145,741,666 ;193,783 ;-3,468.1 ;-;176,621 ;401,773
01/2009;415.00 ;142,042,290 ;188,102 ;-3,727.7 ;-;177,994 ;404,679
02/2009;465.00 ;135,860,956 ;186,880 ;-854.1 ;-;175,667 ;405,966
03/2009;465.00 ;132,167,815 ;190,388 ;-1,830.2 ;-;172,848 ;407,996
04/2009;465.00 ;132,422,172 ;190,546 ;-89.8 ;-;172,119 ;410,095
05/2009;465.00 ;134,772,221 ;195,264 ;-2,110.4 ;-;174,016 ;412,023
06/2009;465.00 ;136,247,294 ;201,467 ;-830.0 ;-;177,704 ;412,963
07/2009;465.00 ;138,420,910 ;207,363 ;-2,799.0 ;-;184,086 ;415,800
08/2009;465.00 ;138,716,549 ;215,744 ;-1,073.9 ;-;187,442 ;417,249
09/2009;465.00 ;145,138,231 ;221,629 ;-2,707.5 ;-;187,998 ;418,742
10/2009;465.00 ;145,570,813 ;231,123 ;-3,298.9 ;-;186,896 ;420,020
11/2009;465.00 ;148,649,026 ;236,660 ;-3,759.1 ;-;190,008 ;423,761
12/2009;465.00 ;167,400,479 ;238,520 ;-6,247.7 ;-;195,579 ;427,442
01/2010;510.00 ;165,388,038 ;240,484 ;-8,312.9 ;-;196,987 ;430,211
02/2010;510.00 ;161,879,063 ;241,082 ;-6,121.2 ;-;196,134 ;433,782
03/2010;510.00 ;158,720,653 ;243,762 ;-8,642.9 ;-;194,236 ;437,623
04/2010;510.00 ;160,329,327 ;247,292 ;-6,752.6 ;-;194,520 ;439,967
05/2010;510.00 ;159,897,072 ;249,846 ;-5,434.3 ;-;196,171 ;441,511
06/2010;510.00 ;162,050,904 ;253,114 ;-7,184.6 ;-;199,650 ;441,682
07/2010;510.00 ;166,373,525 ;257,299 ;-9,819.6 ;-;207,159 ;446,112
08/2010;510.00 ;168,625,377 ;261,320 ;-6,082.6 ;-;212,855 ;452,319
09/2010;510.00 ;172,969,214 ;275,206 ;-8,029.3 ;-;215,263 ;457,464
10/2010;510.00 ;176,942,359 ;284,930 ;-7,008.9 ;-;215,972 ;462,525
11/2010;510.00 ;177,833,565 ;285,461 ;-8,488.6 ;-;217,544 ;461,009
12/2010;510.00 ;197,388,288 ;288,575 ;-4,840.3 ;-;221,619 ;459,667
01/2011;540.00 ;192,046,875 ;297,696 ;-10,286.1 ;-;222,306 ;459,902
02/2011;540.00 ;183,876,931 ;307,516 ;-5,205.0 ;-;223,125 ;466,304
03/2011;545.00 ;180,764,802 ;317,146 ;-6,744.3 ;-;219,905 ;467,330
04/2011;545.00 ;179,925,547 ;328,062 ;-6,175.8 ;-;221,709 ;470,957
05/2011;545.00 ;177,603,406 ;333,017 ;-6,665.5 ;-;223,888 ;472,999
06/2011;545.00 ;180,025,717 ;335,775 ;-6,180.6 ;-;231,106 ;479,001
07/2011;545.00 ;179,954,773 ;346,144 ;-8,791.0 ;-;238,827 ;482,073
08/2011;545.00 ;179,719,736 ;353,397 ;-6,118.1 ;-;242,638 ;482,754
09/2011;545.00 ;184,276,398 ;349,708 ;-5,695.2 ;-;242,190 ;480,478
10/2011;545.00 ;185,470,716 ;352,928 ;-6,014.4 ;-;239,624 ;478,619
11/2011;545.00 ;187,279,197 ;352,073 ;-8,501.2 ;-;244,197 ;483,045
12/2011;545.00 ;205,977,180 ;352,012 ;-7,199.0 ;-;249,778 ;485,297
01/2012;622.00 ;200,584,542 ;355,075 ;-12,403.4 ;-;251,735 ;489,828
02/2012;622.00 ;194,553,012 ;356,330 ;-5,385.1 ;214,291.00 ;250,716 ;493,607
03/2012;622.00 ;190,404,220 ;365,216 ;-6,866.3 ;239,170.00 ;247,400 ;497,030
04/2012;622.00 ;189,578,149 ;374,272 ;-6,873.0 ;239,717.00 ;248,652 ;500,641
05/2012;622.00 ;190,083,861 ;372,409 ;-6,888.2 ;240,666.00 ;250,265 ;502,502
06/2012;622.00 ;192,526,427 ;373,910 ;-7,745.9 ;242,134.00 ;255,728 ;504,813
07/2012;622.00 ;197,481,613 ;376,154 ;-8,650.4 ;243,964.00 ;263,548 ;507,827
08/2012;622.00 ;196,988,272 ;377,221 ;-4,883.0 ;244,778.00 ;268,646 ;510,340
09/2012;622.00 ;205,554,893 ;378,726 ;-5,560.0 ;245,603.00 ;270,926 ;511,504
10/2012;622.00 ;206,024,936 ;377,753 ;-7,965.5 ;245,622.00 ;271,230 ;513,663
11/2012;622.00 ;206,507,508 ;378,560 ;-9,874.6 ;247,785.00 ;274,126 ;512,862
12/2012;622.00 ;230,868,943 ;373,147 ;-9,582.9 ;259,148.00 ;279,683 ;512,798
01/2013;678.00 ;226,760,492 ;373,417 ;-13,782.4 ;259,274.00 ;280,215 ;514,564
02/2013;678.00 ;214,946,577 ;373,742 ;-6,596.5 ;257,228.00 ;278,425 ;516,289
03/2013;678.00 ;205,642,375 ;376,934 ;-7,146.6 ;247,052.00 ;276,018 ;521,183
04/2013;678.00 ;206,047,994 ;378,665 ;-7,499.5 ;248,475.00 ;277,852 ;525,652
05/2013;678.00 ;207,907,751 ;374,417 ;-7,058.7 ;251,528.00 ;282,846 ;532,663
06/2013;678.00 ;204,153,238 ;369,402 ;-4,257.5 ;254,304.00 ;289,658 ;537,168
07/2013;678.00 ;211,543,777 ;371,966 ;-12,369.1 ;256,330.00 ;297,069 ;539,745
08/2013;678.00 ;212,978,046 ;367,002 ;-5,964.2 ;256,920.00 ;300,952 ;540,800
09/2013;678.00 ;214,964,511 ;368,654 ;-4,990.1 ;258,536.00 ;303,838 ;542,571
10/2013;678.00 ;217,019,194 ;364,505 ;-7,597.4 ;259,053.00 ;304,664 ;545,303
11/2013;678.00 ;221,547,350 ;362,410 ;-6,105.8 ;259,879.00 ;308,952 ;544,019
12/2013;678.00 ;240,347,230 ;358,808 ;-5,016.4 ;268,070.00 ;313,959 ;540,120
01/2014;724.00 ;235,625,338 ;360,936 ;-14,125.7 ;270,013.00 ;315,544 ;545,017
02/2014;724.00 ;227,826,681 ;362,691 ;-8,905.3 ;270,974.00 ;313,644 ;548,296
03/2014;724.00 ;223,141,949 ;363,914 ;-8,299.0 ;262,323.00 ;308,150 ;550,190
04/2014;724.00 ;225,064,836 ;366,717 ;-8,953.4 ;262,530.00 ;308,094 ;549,984
05/2014;724.00 ;222,889,174 ;368,752 ;-7,469.3 ;261,380.00 ;309,417 ;548,905
06/2014;724.00 ;223,367,049 ;373,516 ;-5,421.4 ;260,114.00 ;313,924 ;549,110
07/2014;724.00 ;225,994,071 ;376,792 ;-11,100.4 ;261,716.00 ;321,384 ;551,255
08/2014;724.00 ;226,342,864 ;379,157 ;-6,717.2 ;263,234.00 ;328,042 ;556,732
09/2014;724.00 ;231,813,871 ;375,513 ;-8,746.8 ;265,468.00 ;333,410 ;560,928
10/2014;724.00 ;234,187,883 ;375,833 ;-10,050.9 ;264,343.00 ;335,068 ;563,882
11/2014;724.00 ;236,042,054 ;375,426 ;-10,526.1 ;266,586.00 ;339,099 ;557,784
12/2014;724.00 ;259,019,072 ;363,551 ;-10,178.0 ;275,931.00 ;343,981 ;550,682
01/2015;788.00 ;253,143,092 ;361,767 ;-12,797.1 ;274,424.00 ;339,409 ;544,979
02/2015;788.00 ;241,936,239 ;362,547 ;-8,160.8 ;271,328.00 ;333,768 ;542,494
03/2015;788.00 ;240,742,528 ;362,744 ;-6,560.7 ;261,858.00 ;327,262 ;544,131
04/2015;788.00 ;238,311,480 ;364,473 ;-6,366.4 ;260,228.00 ;325,791 ;539,391
05/2015;788.00 ;232,080,485 ;366,647 ;-4,220.1 ;261,422.00 ;328,512 ;539,254
06/2015;788.00 ;233,247,557 ;368,668 ;-3,916.4 ;259,809.00 ;332,301 ;536,910
07/2015;788.00 ;234,080,416 ;368,252 ;-6,583.7 ;257,981.00 ;338,847 ;535,146
08/2015;788.00 ;229,410,329 ;368,159 ;-2,989.5 ;257,482.00 ;341,664 ;533,160
09/2015;788.00 ;230,966,801 ;361,370 ;-3,002.0 ;257,669.00 ;341,181 ;526,727
10/2015;788.00 ;237,344,387 ;361,230 ;-5,029.0 ;257,529.00 ;345,979 ;533,433
11/2015;788.00 ;237,068,635 ;357,016 ;-3,863.9 ;266,526.00 ;360,929 ;538,722
12/2015;788.00 ;256,350,359 ;356,464 ;80.8 ;290,184.00 ;381,996 ;548,861
01/2016;880.00 ;251,652,820 ;357,507 ;-6,043.6 ;288,386.00 ;376,690 ;541,791
02/2016;880.00 ;244,271,149 ;359,368 ;-1,787.1 ;279,400.00 ;367,602 ;537,401
03/2016;880.00 ;241,117,782 ;357,698 ;-1,994.9 ;254,123.00 ;349,594 ;529,925
04/2016;880.00 ;237,362,700 ;362,201 ;-1,125.8 ;254,118.00 ;349,710 ;529,210
05/2016;880.00 ;238,375,730 ;363,447 ;839.5 ;251,484.00 ;347,489 ;523,615
06/2016;880.00 ;236,508,935 ;364,152 ;-3,180.8 ;251,276.00 ;352,051 ;522,437
07/2016;880.00 ;237,508,676 ;369,340 ;-4,409.7 ;252,878.00 ;360,723 ;523,749
08/2016;880.00 ;237,161,461 ;369,541 ;-1,478.8 ;251,434.00 ;365,068 ;524,015
09/2016;880.00 ;243,218,284 ;370,417 ;-1,816.0 ;250,955.00 ;366,913 ;522,498
10/2016;880.00 ;244,077,449 ;367,528 ;-3,657.9 ;251,349.00 ;368,338 ;524,809
11/2016;880.00 ;243,446,509 ;365,556 ;-878.5 ;261,200.00 ;380,729 ;527,257
12/2016;880.00 ;265,369,719 ;365,016 ;-4,995.7 ;283,944.00 ;399,574 ;532,530
01/2017;937.00 ;260,397,372 ;367,708 ;-6,993.5 ;284,706.00 ;397,593 ;535,430
02/2017;937.00 ;251,571,268 ;368,981 ;-539.2 ;277,302.00 ;387,595 ;535,813
03/2017;937.00 ;248,035,925 ;370,111 ;-124.4 ;254,321.00 ;370,398 ;537,363
04/2017;937.00 ;248,716,917 ;374,945 ;-1,055.5 ;253,671.00 ;373,320 ;543,190
05/2017;937.00 ;248,050,620 ;376,491 ;1,479.1 ;253,581.00 ;377,869 ;548,515
06/2017;937.00 ;250,502,233 ;377,175 ;-559.5 ;255,482.00 ;383,829 ;550,334
07/2017;937.00 ;251,374,098 ;381,029 ;-4,403.3 ;257,329.00 ;389,038 ;547,584
08/2017;937.00 ;249,865,509 ;381,843 ;-1,305.2 ;259,263.00 ;389,174 ;543,268
09/2017;937.00 ;254,445,013 ;381,244 ;-1,672.9 ;260,231.00 ;388,827 ;538,886
10/2017;937.00 ;254,300,762 ;380,351 ;-2,609.8 ;261,481.00 ;390,477 ;542,148
11/2017;937.00 ;256,610,962 ;381,056 ;-3,941.2 ;271,157.00 ;403,658 ;545,156
12/2017;937.00 ;282,291,930 ;373,972 ;-3,612.1 ;294,980.00 ;425,023 ;549,100
01/2018;954.00 ;277,091,473 ;375,701 ;-7,887.4 ;295,719.00 ;423,383 ;553,641
02/2018;954.00 ;268,674,457 ;377,035 ;-5,981.9 ;285,778.00 ;410,031 ;551,070
03/2018;954.00 ;264,988,299 ;379,577 ;-3,333.8 ;263,423.00 ;388,636 ;551,148
04/2018;954.00 ;262,149,570 ;379,979 ;-2,738.2 ;262,987.00 ;384,960 ;548,164
05/2018;954.00 ;263,424,071 ;382,549 ;-1,866.8 ;263,448.00 ;384,519 ;545,504
06/2018;954.00 ;265,082,605 ;379,500 ;-2,546.9 ;264,769.00 ;391,324 ;542,124
07/2018;954.00 ;267,340,246 ;379,444 ;-8,561.6 ;267,578.00 ;404,668 ;545,217
08/2018;954.00 ;267,917,708 ;381,393 ;-4,917.4 ;267,786.00 ;414,450 ;550,583
09/2018;954.00 ;275,233,403 ;380,738 ;-2,460.8 ;268,053.00 ;416,477 ;549,415
10/2018;954.00 ;277,461,939 ;380,290 ;-3,221.1 ;268,178.00 ;416,101 ;551,557
11/2018;954.00 ;275,490,392 ;379,722 ;-4,163.0 ;278,753.00 ;424,776 ;551,939
12/2018;954.00 ;298,416,099 ;374,715 ;-7,115.2 ;304,501.00 ;442,957 ;551,643
01/2019;998.00 ;288,827,411 ;376,984 ;-9,549.9 ;305,568.00 ;439,583 ;555,875
02/2019;998.00 ;278,807,479 ;378,448 ;-2,958.5 ;295,645.00 ;426,973 ;555,189
03/2019;998.00 ;277,602,465 ;384,165 ;-3,774.2 ;270,807.00 ;407,313 ;558,077
04/2019;998.00 ;275,178,211 ;383,799 ;-3,109.1 ;269,130.00 ;404,749 ;553,907
05/2019;998.00 ;271,843,885 ;386,162 ;-3,612.5 ;270,529.00 ;407,050 ;552,108
06/2019;998.00 ;274,001,077 ;388,092 ;-2,960.0 ;271,319.00 ;406,361 ;536,359
07/2019;998.00 ;273,466,549 ;385,730 ;-11,868.4 ;274,234.00 ;424,698 ;545,919
08/2019;998.00 ;275,518,402 ;386,478 ;-6,424.5 ;273,965.00 ;430,539 ;548,676
09/2019;998.00 ;281,284,398 ;376,434 ;-3,992.4 ;275,789.00 ;445,341 ;565,503
10/2019;998.00 ;283,725,360 ;369,836 ;-9,535.5 ;277,651.00 ;446,699 ;574,892
11/2019;998.00 ;289,250,788 ;366,376 ;-4,469.8 ;288,232.00 ;459,560 ;584,427
12/2019;998.00 ;315,031,079 ;356,884 ;-5,766.7 ;313,881.00 ;486,481 ;590,683
01/2020;1,039.00 ;309,794,865 ;359,394 ;-11,114.7 ;313,634.00 ;480,913 ;589,138
02/2020;1,045.00 ;302,521,740 ;362,460 ;-5,176.9 ;300,203.00 ;468,083 ;587,621
03/2020;1,045.00 ;299,183,977 ;343,165 ;-3,625.1 ;266,539.00 ;428,101 ;567,760
04/2020;1,045.00 ;315,351,135 ;339,317 ;2,137.8 ;250,320.00 ;428,880 ;568,675
05/2020;1,045.00 ;354,968,825 ;345,706 ;339.3 ;238,531.00 ;443,857 ;587,077
06/2020;1,045.00 ;374,594,200 ;348,781 ;2,810.7 ;234,831.00 ;470,465 ;602,358
07/2020;1,045.00 ;391,972,486 ;354,664 ;-771.7 ;237,926.00 ;491,985 ;611,408
08/2020;1,045.00 ;400,306,446 ;356,092 ;874.4 ;245,284.00 ;496,281 ;611,965
09/2020;1,045.00 ;407,541,550 ;356,606 ;-393.9 ;249,932.00 ;489,079 ;603,578
10/2020;1,045.00 ;412,083,255 ;354,546 ;-1,472.9 ;254,168.00 ;475,324 ;594,491
11/2020;1,045.00 ;415,484,637 ;356,004 ;-2,920.1 ;259,952.00 ;469,134 ;580,219
12/2020;1,045.00 ;428,351,152 ;355,620 ;-8,894.5 ;279,385.00 ;487,415 ;573,614
01/2021;1,100.00 ;433,440,319 ;355,416 ;-8,665.7 ;278,949.00 ;482,011 ;569,406
02/2021;1,100.00 ;418,386,143 ;356,070 ;-4,415.9 ;273,005.00 ;478,853 ;576,653
03/2021;1,100.00 ;407,067,483 ;347,413 ;-8,555.6 ;253,802.00 ;457,335 ;576,445
04/2021;1,100.00 ;402,056,149 ;350,996 ;3,402.5 ;255,153.00 ;466,523 ;580,762
05/2021;1,100.00 ;400,492,834 ;353,448 ;1,995.9 ;256,071.00 ;472,080 ;580,530
06/2021;1,100.00 ;402,914,464 ;352,486 ;1,669.0 ;258,224.00 ;492,153 ;580,580
07/2021;1,100.00 ;409,819,792 ;355,671 ;-3,676.4 ;258,476.00 ;512,199 ;581,872
08/2021;1,100.00 ;412,689,327 ;370,395 ;-2,218.8 ;257,171.00 ;515,276 ;579,490
09/2021;1,100.00 ;409,472,596 ;368,886 ;-3,630.7 ;255,645.00 ;501,872 ;565,991
10/2021;1,100.00 ;403,592,971 ;367,927 ;-6,012.3 ;254,928.00 ;490,467 ;560,198
11/2021;1,100.00 ;399,463,622 ;367,772 ;-8,508.7 ;261,862.00 ;497,759 ;561,023
12/2021;1,100.00 ;406,997,942 ;362,204 ;-7,741.2 ;284,397.00 ;526,038 ;563,703
01/2022;1,212.00 ;408,685,827 ;358,398 ;-7,361.0 ;284,936.00 ;523,715 ;562,463
02/2022;1,212.00 ;394,010,779 ;357,740 ;-1,881.8 ;280,900.00 ;526,310 ;575,482
03/2022;1,212.00 ;391,055,272 ;353,169 ;-2,307.2 ;263,094.00 ;515,912 ;585,466
04/2022;1,212.00 ;387,964,969 ;345,097 ;1,075.4 ;266,987.00 ;530,780 ;590,581
05/2022;1,212.00 ;392,180,718 ;346,415 ;-4,269.4 ;271,397.00 ;552,350 ;604,732
06/2022;1,212.00 ;396,583,898 ;341,958 ;262.7 ;275,637.00 ;568,871 ;597,789
07/2022;1,212.00 ;395,335,201 ;346,403 ;-5,666.2 ;279,331.00 ;586,043 ;596,897
08/2022;1,212.00 ;391,342,492 ;339,664 ;-7,159.2 ;282,620.00 ;587,085 ;597,889
09/2022;1,212.00 ;390,140,792 ;327,580 ;-7,117.6 ;285,484.00 ;580,765 ;605,332
10/2022;1,212.00 ;393,177,079 ;325,546 ;-5,207.7 ;288,120.00 ;575,731 ;615,127
11/2022;1,212.00 ;394,384,849 ;331,505 ;-1,091.4 ;298,442.00 ;583,721 ;620,111
12/2022;1,212.00 ;407,026,123 ;324,703 ;-7,529.5 ;320,056.00 ;613,574 ;621,018
01/2023;1,302.00 ;415,205,831 ;331,122 ;-8,963.2 ;319,785.00 ;610,630 ;620,410
02/2023;1,302.00 ;407,607,488 ;328,098 ;-4,354.6 ;310,514.00 ;602,918 ;622,575
03/2023;1,302.00 ;403,820,481 ;341,158 ;697.6 ;289,810.00 ;584,069 ;626,976
04/2023;1,302.00 ;396,092,965 ;345,725 ;-247.2 ;288,568.00 ;593,861 ;628,471
05/2023;1,320.00 ;395,505,903 ;343,489 ;1,093.2 ;289,674.00 ;602,094 ;629,455
06/2023;1,320.00 ;397,422,360 ;343,620 ;-842.1 ;291,647.00 ;620,602 ;629,594
07/2023;1,320.00 ;402,700,636 ;345,476 ;-5,223.3 ;294,951.00 ;646,607 ;636,105
08/2023;1,320.00 ;402,746,313 ;344,177 ;-1,994.3 ;298,655.00 ;655,810 ;643,029
09/2023;1,320.00 ;400,051,972 ;340,324 ;-176.0 ;299,109.00 ;643,608 ;643,232
10/2023;1,320.00 ;398,986,805 ;340,247 ;-830.0 ;301,240.00 ;629,777 ;644,007
11/2023;1,320.00 ;409,947,053 ;348,406 ;-1,839.8 ;311,830.00 ;640,976 ;649,786
12/2023;1,320.00 ;418,589,557 ;355,034 ;-5,870.4 ;-;683,119 ;658,942
01/2024;1,412.00 ;421,432,901 ;355,066 ;-5,068.1 ;-;-;-
02/2024;1,412.00 ;-;352,705 ;-;-;-;-
03/2024;1,412.00 ;-;-;-;-;-;-
Source;MTb;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;IBGE;BCB;BCB
