Date;1619 - Minimum wage - c.m.u.;1785 - Monetary base - Monetary base (working day balance average) - c.m.u. (thousand);3546 - International reserves - Total - monthly - US$ (million);22701 - Current account - monthly - net - US$ (million);28544 - Real effective overall earnings - R$ (million);29023 - Households gross disposable national income (3-months moving average) - R$ (million);29027 - Households gross disposable national income (deflated by IPCA, seasonally adjusted, 3-months moving average) - R$ (million)
06/1981;-;656,000,000 ;6,150 ;-;-;-;-
07/1981;-;701,000,000 ;6,232 ;-;-;-;-
08/1981;-;737,000,000 ;6,279 ;-;-;-;-
09/1981;-;757,000,000 ;6,347 ;-;-;-;-
10/1981;-;813,000,000 ;6,408 ;-;-;-;-
11/1981;-;856,000,000 ;6,574 ;-;-;-;-
12/1981;-;1,059,000,000 ;7,507 ;-;-;-;-
01/1982;-;1,124,000,000 ;7,280 ;-;-;-;-
02/1982;-;1,196,000,000 ;7,080 ;-;-;-;-
03/1982;-;1,133,000,000 ;7,082 ;-;-;-;-
04/1982;-;1,178,000,000 ;7,089 ;-;-;-;-
05/1982;-;1,205,000,000 ;6,921 ;-;-;-;-
06/1982;-;1,295,000,000 ;6,941 ;-;-;-;-
07/1982;-;1,406,000,000 ;7,035 ;-;-;-;-
08/1982;-;1,457,000,000 ;6,970 ;-;-;-;-
09/1982;-;1,501,000,000 ;5,051 ;-;-;-;-
10/1982;-;1,619,000,000 ;3,877 ;-;-;-;-
11/1982;-;1,816,000,000 ;3,783 ;-;-;-;-
12/1982;-;2,103,000,000 ;3,994 ;-;-;-;-
01/1983;-;2,297,000,000 ;3,137 ;-;-;-;-
02/1983;-;2,306,000,000 ;3,209 ;-;-;-;-
03/1983;-;2,285,000,000 ;3,480 ;-;-;-;-
04/1983;-;2,311,000,000 ;3,587 ;-;-;-;-
05/1983;-;2,382,000,000 ;3,389 ;-;-;-;-
06/1983;-;2,460,000,000 ;3,803 ;-;-;-;-
07/1983;-;2,793,000,000 ;3,822 ;-;-;-;-
08/1983;-;2,906,000,000 ;4,242 ;-;-;-;-
09/1983;-;3,033,000,000 ;3,965 ;-;-;-;-
10/1983;-;3,159,000,000 ;3,798 ;-;-;-;-
11/1983;-;3,316,000,000 ;4,264 ;-;-;-;-
12/1983;-;4,131,000,000 ;4,563 ;-;-;-;-
01/1984;-;4,502,000,000 ;4,608 ;-;-;-;-
02/1984;-;4,474,000,000 ;5,360 ;-;-;-;-
03/1984;-;4,602,000,000 ;5,936 ;-;-;-;-
04/1984;-;4,807,000,000 ;6,859 ;-;-;-;-
05/1984;-;5,332,000,000 ;7,164 ;-;-;-;-
06/1984;-;5,803,000,000 ;7,950 ;-;-;-;-
07/1984;-;6,610,000,000 ;8,354 ;-;-;-;-
08/1984;-;7,022,000,000 ;9,354 ;-;-;-;-
09/1984;-;7,689,000,000 ;9,639 ;-;-;-;-
10/1984;-;8,624,000,000 ;9,898 ;-;-;-;-
11/1984;-;9,435,000,000 ;10,571 ;-;-;-;-
12/1984;-;12,029,000,000 ;11,995 ;-;-;-;-
01/1985;-;13,885,000,000 ;10,521 ;-;-;-;-
02/1985;-;14,205,000,000 ;10,635 ;-;-;-;-
03/1985;-;14,526,000,000 ;11,454 ;-;-;-;-
04/1985;-;15,709,000,000 ;11,443 ;-;-;-;-
05/1985;-;17,054,000,000 ;11,421 ;-;-;-;-
06/1985;-;18,931,000,000 ;11,647 ;-;-;-;-
07/1985;-;22,287,000,000 ;12,004 ;-;-;-;-
08/1985;-;23,631,000,000 ;12,178 ;-;-;-;-
09/1985;-;27,556,000,000 ;11,860 ;-;-;-;-
10/1985;-;29,726,000,000 ;11,812 ;-;-;-;-
