Date;3546 - International reserves - Total - monthly - US$ (million)
04/2000;28,721
05/2000;28,570
06/2000;28,265
07/2000;29,214
08/2000;31,385
09/2000;31,431
10/2000;30,393
11/2000;32,533
12/2000;33,011
01/2001;35,598
02/2001;35,413
03/2001;34,407
04/2001;34,653
05/2001;35,459
06/2001;37,318
07/2001;35,552
08/2001;36,299
09/2001;40,054
10/2001;37,492
11/2001;37,234
12/2001;35,866
01/2002;36,167
02/2002;35,906
03/2002;36,721
04/2002;33,008
05/2002;32,889
06/2002;41,999
07/2002;39,060
08/2002;37,643
09/2002;38,381
10/2002;35,855
11/2002;35,592
12/2002;37,823
01/2003;38,772
02/2003;38,530
03/2003;42,335
04/2003;41,500
05/2003;43,373
06/2003;47,956
07/2003;47,645
08/2003;47,793
09/2003;52,675
10/2003;54,093
11/2003;54,427
12/2003;49,296
01/2004;53,261
02/2004;52,960
03/2004;51,612
04/2004;50,498
05/2004;50,540
06/2004;49,805
07/2004;49,666
08/2004;49,594
09/2004;49,496
10/2004;49,416
11/2004;50,133
12/2004;52,935
01/2005;54,022
02/2005;59,017
03/2005;61,960
04/2005;61,591
05/2005;60,709
06/2005;59,885
07/2005;54,688
08/2005;55,076
09/2005;57,008
10/2005;60,245
11/2005;64,277
12/2005;53,799
01/2006;56,924
02/2006;57,415
03/2006;59,824
04/2006;56,552
05/2006;63,381
06/2006;62,670
07/2006;66,819
08/2006;71,478
09/2006;73,393
10/2006;78,171
11/2006;83,114
12/2006;85,839
01/2007;91,086
02/2007;101,070
03/2007;109,531
04/2007;121,830
05/2007;136,419
06/2007;147,101
07/2007;155,910
08/2007;161,097
09/2007;162,962
10/2007;167,867
11/2007;177,060
12/2007;180,334
01/2008;187,507
02/2008;192,902
03/2008;195,232
04/2008;195,767
05/2008;197,906
06/2008;200,827
07/2008;203,562
08/2008;205,116
09/2008;206,494
10/2008;197,229
11/2008;194,668
12/2008;193,783
01/2009;188,102
02/2009;186,880
03/2009;190,388
04/2009;190,546
05/2009;195,264
06/2009;201,467
07/2009;207,363
08/2009;215,744
09/2009;221,629
10/2009;231,123
11/2009;236,660
12/2009;238,520
01/2010;240,484
02/2010;241,082
03/2010;243,762
04/2010;247,292
05/2010;249,846
06/2010;253,114
07/2010;257,299
08/2010;261,320
09/2010;275,206
10/2010;284,930
11/2010;285,461
12/2010;288,575
01/2011;297,696
02/2011;307,516
03/2011;317,146
04/2011;328,062
05/2011;333,017
06/2011;335,775
07/2011;346,144
08/2011;353,397
09/2011;349,708
10/2011;352,928
11/2011;352,073
12/2011;352,012
01/2012;355,075
02/2012;356,330
03/2012;365,216
04/2012;374,272
05/2012;372,409
06/2012;373,910
07/2012;376,154
08/2012;377,221
09/2012;378,726
10/2012;377,753
11/2012;378,560
12/2012;373,147
01/2013;373,417
02/2013;373,742
03/2013;376,934
04/2013;378,665
05/2013;374,417
06/2013;369,402
07/2013;371,966
08/2013;367,002
09/2013;368,654
10/2013;364,505
11/2013;362,410
12/2013;358,808
01/2014;360,936
02/2014;362,691
03/2014;363,914
04/2014;366,717
05/2014;368,752
06/2014;373,516
07/2014;376,792
08/2014;379,157
09/2014;375,513
10/2014;375,833
11/2014;375,426
12/2014;363,551
01/2015;361,767
02/2015;362,547
03/2015;362,744
04/2015;364,473
05/2015;366,647
06/2015;368,668
07/2015;368,252
08/2015;368,159
09/2015;361,370
10/2015;361,230
11/2015;357,016
12/2015;356,464
01/2016;357,507
02/2016;359,368
03/2016;357,698
04/2016;362,201
05/2016;363,447
06/2016;364,152
07/2016;369,340
08/2016;369,541
09/2016;370,417
10/2016;367,528
11/2016;365,556
12/2016;365,016
01/2017;367,708
02/2017;368,981
03/2017;370,111
04/2017;374,945
05/2017;376,491
06/2017;377,175
07/2017;381,029
08/2017;381,843
09/2017;381,244
10/2017;380,351
11/2017;381,056
12/2017;373,972
01/2018;375,701
02/2018;377,035
03/2018;379,577
04/2018;379,979
05/2018;382,549
06/2018;379,500
07/2018;379,444
08/2018;381,393
09/2018;380,738
10/2018;380,290
11/2018;379,722
12/2018;374,715
01/2019;376,984
02/2019;378,448
