Date;29039 - Commodity Index - Brazil - Energy (in US Dollars) - Index;29040 - Commodity Index - Brazil - Metal (in US Dollars) - Index;29041 - Commodity Index - Brazil - Agriculture (in US Dollars) - Index
04/2010;75.10 ;152.55 ;119.91
05/2010;74.37 ;138.36 ;116.54
06/2010;77.69 ;130.54 ;115.12
07/2010;77.41 ;134.13 ;120.39
08/2010;76.25 ;146.70 ;127.79
09/2010;73.74 ;155.96 ;138.94
10/2010;75.08 ;172.35 ;147.98
11/2010;79.46 ;172.96 ;157.31
12/2010;84.56 ;180.00 ;166.22
01/2011;86.58 ;185.92 ;177.13
02/2011;84.71 ;199.39 ;189.44
03/2011;90.06 ;199.80 ;187.32
04/2011;94.60 ;211.63 ;185.93
05/2011;91.49 ;193.42 ;171.89
06/2011;92.47 ;186.91 ;171.93
07/2011;92.11 ;195.93 ;170.90
08/2011;88.07 ;185.11 ;171.46
09/2011;87.26 ;175.90 ;170.27
10/2011;85.02 ;161.20 ;163.40
11/2011;83.75 ;160.34 ;160.42
12/2011;79.51 ;152.99 ;154.71
01/2012;75.64 ;161.76 ;161.18
02/2012;76.01 ;172.92 ;162.02
03/2012;75.10 ;168.28 ;158.25
04/2012;72.00 ;162.90 ;152.90
05/2012;69.75 ;153.70 ;145.13
06/2012;65.39 ;146.89 ;140.82
07/2012;70.72 ;144.88 ;156.33
08/2012;73.56 ;145.05 ;156.96
09/2012;74.70 ;161.29 ;156.74
10/2012;78.06 ;159.62 ;153.78
11/2012;78.46 ;157.50 ;152.59
12/2012;76.04 ;165.17 ;153.28
01/2013;75.53 ;167.90 ;153.15
02/2013;76.87 ;168.00 ;151.93
03/2013;76.91 ;158.06 ;149.69
04/2013;77.67 ;148.16 ;146.31
05/2013;76.76 ;143.26 ;144.68
06/2013;73.52 ;139.30 ;143.18
07/2013;73.35 ;135.75 ;141.01
08/2013;72.32 ;145.10 ;139.11
09/2013;75.31 ;145.25 ;139.99
10/2013;76.31 ;147.08 ;140.84
11/2013;75.50 ;143.62 ;138.48
12/2013;80.35 ;144.15 ;138.16
01/2014;80.26 ;143.54 ;139.10
02/2014;81.72 ;144.56 ;145.58
03/2014;80.22 ;143.26 ;151.66
04/2014;81.69 ;145.74 ;153.32
05/2014;81.18 ;144.95 ;150.90
06/2014;81.95 ;145.96 ;147.88
07/2014;77.39 ;151.12 ;145.63
08/2014;75.88 ;150.95 ;140.01
09/2014;74.31 ;145.09 ;140.15
10/2014;69.98 ;139.23 ;143.42
11/2014;70.76 ;139.61 ;143.01
12/2014;59.21 ;134.92 ;140.29
01/2015;48.84 ;131.48 ;135.82
02/2015;51.48 ;128.03 ;131.78
03/2015;50.34 ;124.57 ;127.77
04/2015;50.44 ;125.11 ;128.45
05/2015;53.44 ;126.87 ;128.51
06/2015;52.51 ;119.23 ;129.12
07/2015;50.48 ;114.75 ;130.66
08/2015;47.09 ;110.40 ;125.84
09/2015;46.64 ;110.73 ;123.26
10/2015;45.56 ;111.57 ;125.77
11/2015;43.39 ;104.11 ;124.12
12/2015;37.89 ;103.49 ;123.82
01/2016;36.61 ;101.12 ;122.47
02/2016;35.12 ;109.10 ;121.60
03/2016;36.38 ;114.07 ;121.78
04/2016;39.17 ;116.16 ;121.09
05/2016;42.16 ;115.43 ;122.98
06/2016;47.27 ;118.14 ;127.18
07/2016;48.19 ;126.19 ;124.02
08/2016;48.86 ;128.11 ;123.42
09/2016;51.63 ;129.53 ;122.78
10/2016;57.81 ;130.79 ;123.42
11/2016;54.44 ;139.00 ;124.55
12/2016;61.66 ;139.55 ;123.49
01/2017;61.42 ;140.90 ;126.71
02/2017;60.05 ;143.46 ;125.81
03/2017;57.04 ;143.34 ;121.79
04/2017;59.25 ;141.17 ;120.57
05/2017;57.50 ;139.06 ;122.32
06/2017;54.20 ;137.88 ;119.25
07/2017;55.52 ;142.30 ;119.89
08/2017;57.56 ;150.13 ;116.17
09/2017;61.30 ;153.88 ;118.16
10/2017;63.00 ;155.52 ;119.31
11/2017;66.90 ;153.23 ;123.43
12/2017;66.58 ;152.44 ;120.12
01/2018;70.67 ;161.35 ;122.25
02/2018;66.26 ;163.21 ;123.17
03/2018;66.87 ;156.11 ;119.23
04/2018;70.62 ;158.59 ;116.75
05/2018;76.03 ;157.78 ;118.44
06/2018;76.14 ;157.94 ;116.94
07/2018;75.38 ;145.76 ;116.49
08/2018;75.25 ;141.04 ;114.24
09/2018;78.89 ;138.43 ;114.90
10/2018;81.37 ;141.66 ;118.26
11/2018;72.29 ;138.37 ;118.32
12/2018;64.92 ;138.57 ;118.55
01/2019;63.01 ;140.45 ;119.39
02/2019;63.93 ;145.69 ;119.27
03/2019;65.47 ;146.99 ;117.01
04/2019;66.79 ;145.10 ;116.72
05/2019;65.09 ;138.58 ;110.75
06/2019;58.18 ;137.33 ;112.45
07/2019;60.25 ;136.46 ;113.68
08/2019;56.23 ;132.28 ;106.57
09/2019;59.78 ;135.08 ;108.12
10/2019;58.19 ;135.47 ;114.25
11/2019;60.39 ;133.53 ;119.17
12/2019;60.28 ;133.18 ;122.68
01/2020;57.95 ;134.77 ;124.14
02/2020;51.74 ;128.66 ;119.42
03/2020;36.82 ;118.51 ;104.58
04/2020;32.32 ;115.63 ;97.42
05/2020;34.72 ;119.28 ;103.18
06/2020;39.55 ;127.76 ;103.52
07/2020;42.00 ;136.58 ;107.99
08/2020;45.63 ;148.63 ;112.40
09/2020;44.89 ;148.63 ;116.03
10/2020;46.21 ;148.08 ;117.53
11/2020;46.50 ;154.61 ;122.21
12/2020;50.28 ;163.70 ;125.35
01/2021;53.81 ;168.87 ;134.30
02/2021;58.87 ;181.47 ;140.10
03/2021;60.80 ;184.01 ;140.31
04/2021;61.52 ;190.36 ;144.19
05/2021;66.10 ;208.05 ;151.46
06/2021;72.48 ;207.59 ;150.93
07/2021;77.10 ;210.66 ;154.04
08/2021;77.17 ;210.93 ;157.75
09/2021;87.12 ;211.44 ;156.20
10/2021;99.65 ;223.27 ;161.15
11/2021;87.76 ;220.14 ;167.57
12/2021;79.62 ;221.40 ;165.81
01/2022;88.49 ;234.88 ;170.02
02/2022;98.85 ;245.50 ;179.06
03/2022;129.99 ;261.20 ;183.34
04/2022;134.55 ;258.50 ;191.50
05/2022;143.25 ;224.55 ;191.38
06/2022;147.30 ;209.21 ;183.64
07/2022;140.68 ;180.51 ;167.82
08/2022;143.94 ;186.23 ;174.94
09/2022;132.35 ;168.68 ;176.44
10/2022;121.65 ;165.56 ;172.35
11/2022;117.06 ;174.84 ;175.11
12/2022;108.05 ;188.77 ;172.36
01/2023;92.33 ;201.40 ;174.28
02/2023;84.24 ;193.50 ;178.60
03/2023;81.31 ;183.59 ;172.73
04/2023;84.33 ;188.82 ;178.14
05/2023;76.60 ;181.47 ;173.65
06/2023;77.08 ;181.57 ;178.18
07/2023;80.70 ;185.19 ;182.94
08/2023;85.95 ;178.89 ;183.24
09/2023;92.40 ;179.76 ;187.55
10/2023;92.25 ;174.76 ;184.46
11/2023;85.57 ;177.43 ;182.20
12/2023;78.82 ;177.73 ;175.55
01/2024;78.35 ;178.32 ;176.82
02/2024;77.13 ;177.42 ;185.99
Source;BCB-Depec;BCB-Depec;BCB-Depec
