Date;27574 - Commodity Index - Brazil - Index;29042 - Commodities Index - Brazil (in US Dollars) - Index
07/2015;160.33 ;113.75
08/2015;168.00 ;109.28
09/2015;183.62 ;107.60
10/2015;185.03 ;109.19
11/2015;176.15 ;106.50
12/2015;178.15 ;105.09
01/2016;183.39 ;103.63
02/2016;180.54 ;104.03
03/2016;170.41 ;105.20
04/2016;164.72 ;105.62
05/2016;166.25 ;107.31
06/2016;166.98 ;111.46
07/2016;158.77 ;110.79
08/2016;155.61 ;110.83
09/2016;158.33 ;111.16
10/2016;158.07 ;113.37
11/2016;166.76 ;114.11
12/2016;170.31 ;116.13
01/2017;165.23 ;118.15
02/2017;159.60 ;117.54
03/2017;156.07 ;114.05
04/2017;156.15 ;113.81
05/2017;160.04 ;113.99
06/2017;159.74 ;110.83
07/2017;157.57 ;112.35
08/2017;154.23 ;111.89
09/2017;157.54 ;114.91
10/2017;162.52 ;116.44
11/2017;171.15 ;119.96
12/2017;169.65 ;117.75
01/2018;171.20 ;121.73
02/2018;171.78 ;120.98
03/2018;169.09 ;117.80
04/2018;175.83 ;117.93
05/2018;191.92 ;120.71
06/2018;197.93 ;119.90
07/2018;197.04 ;117.63
08/2018;198.68 ;115.58
09/2018;210.59 ;116.89
10/2018;197.73 ;120.26
11/2018;192.92 ;116.59
12/2018;193.73 ;113.98
01/2019;186.91 ;114.01
02/2019;187.38 ;115.02
03/2019;192.19 ;114.38
04/2019;195.13 ;114.42
05/2019;191.27 ;109.32
06/2019;181.86 ;107.70
07/2019;180.49 ;109.16
08/2019;180.99 ;102.93
09/2019;190.45 ;105.61
10/2019;194.65 ;108.87
11/2019;204.27 ;112.33
12/2019;205.54 ;114.38
01/2020;207.56 ;114.64
02/2020;206.62 ;108.68
03/2020;197.72 ;92.81
04/2020;200.81 ;86.43
05/2020;225.52 ;91.51
06/2020;214.57 ;94.64
07/2020;229.77 ;99.47
08/2020;251.34 ;105.17
09/2020;252.69 ;107.07
10/2020;266.69 ;108.43
11/2020;267.00 ;112.34
12/2020;263.38 ;116.95
01/2021;291.18 ;124.42
02/2021;311.65 ;131.58
03/2021;328.22 ;132.87
04/2021;332.20 ;136.47
05/2021;335.87 ;145.09
06/2021;323.94 ;147.02
07/2021;340.69 ;151.02
08/2021;352.27 ;153.32
09/2021;360.47 ;156.16
10/2021;401.15 ;165.53
11/2021;399.81 ;164.48
12/2021;396.96 ;160.55
01/2022;408.84 ;168.92
02/2022;405.63 ;178.54
03/2022;423.39 ;194.52
04/2022;418.63 ;201.43
05/2022;432.11 ;199.34
06/2022;428.02 ;193.83
07/2022;417.62 ;177.85
08/2022;414.63 ;184.29
09/2022;408.91 ;178.54
10/2022;394.52 ;171.83
11/2022;399.49 ;173.24
12/2022;390.76 ;170.37
01/2023;380.67 ;167.31
02/2023;374.72 ;165.51
03/2023;364.06 ;159.69
04/2023;362.44 ;164.90
05/2023;345.47 ;158.44
06/2023;342.80 ;161.43
07/2023;349.10 ;166.23
08/2023;359.08 ;167.38
09/2023;372.47 ;172.38
10/2023;376.14 ;169.77
11/2023;356.99 ;166.43
12/2023;342.77 ;160.03
01/2024;345.47 ;160.77
02/2024;360.19 ;165.81
03/2024;369.38 ;169.49
Source;BCB-Depec;BCB-Depec
