Date;22701 - Current account - monthly - net - US$ (million)
03/2018;-3,333.8
04/2018;-2,738.2
05/2018;-1,866.8
06/2018;-2,546.9
07/2018;-8,561.6
08/2018;-4,917.4
09/2018;-2,460.8
10/2018;-3,221.1
11/2018;-4,163.0
12/2018;-7,115.2
01/2019;-9,549.9
02/2019;-2,958.5
03/2019;-3,774.2
04/2019;-3,109.1
05/2019;-3,612.5
06/2019;-2,960.0
07/2019;-11,868.4
08/2019;-6,424.5
09/2019;-3,992.4
10/2019;-9,535.5
11/2019;-4,469.8
12/2019;-5,766.7
01/2020;-11,114.7
02/2020;-5,176.9
03/2020;-3,625.1
04/2020;2,137.8
05/2020;339.3
06/2020;2,810.7
07/2020;-771.7
08/2020;874.4
09/2020;-393.9
10/2020;-1,472.9
11/2020;-2,920.1
12/2020;-8,894.5
01/2021;-8,665.7
02/2021;-4,415.9
03/2021;-8,555.6
04/2021;3,402.5
05/2021;1,995.9
06/2021;1,669.0
07/2021;-3,676.4
08/2021;-2,218.8
09/2021;-3,630.7
10/2021;-6,012.3
11/2021;-8,508.7
12/2021;-7,741.2
01/2022;-7,361.0
02/2022;-1,881.8
03/2022;-2,307.2
04/2022;1,075.4
05/2022;-4,269.4
06/2022;262.7
07/2022;-5,666.2
08/2022;-7,159.2
09/2022;-7,117.6
10/2022;-5,207.7
11/2022;-1,091.4
12/2022;-7,529.5
01/2023;-8,963.2
02/2023;-4,354.6
03/2023;697.6
04/2023;-247.2
05/2023;1,093.2
06/2023;-842.1
07/2023;-5,223.3
08/2023;-1,994.3
09/2023;-176.0
10/2023;-830.0
11/2023;-1,839.8
12/2023;-5,870.4
01/2024;-5,068.1
Source;BCB-DSTAT
