Date;188 - National Consumer Price Index (INPC) - Monthly % var.;1635 - Broad national consumer price index (IPCA) - Food and beverages - Monthly % var.;1636 - Broad national consumer price index (IPCA) - Housing - Monthly % var.;1639 - Broad national consumer price index (IPCA) - Transport - Monthly % var.;10844 - Broad National Consumer Price Index (IPCA) - Services - Monthly % var.;13522 - Broad national consumer price index (IPCA) - in 12 months - %;24369 - Unemployment rate - PNADC - %,
06/1990;11.64 ;-;-;-;-;5,385.43 ;-
07/1990;12.62 ;-;-;-;-;4,749.03 ;-
08/1990;12.18 ;-;-;-;-;3,993.62 ;-
09/1990;14.26 ;-;-;-;-;3,304.71 ;-
10/1990;14.43 ;-;-;-;-;2,685.74 ;-
11/1990;16.92 ;-;-;-;-;2,101.34 ;-
12/1990;19.14 ;-;-;-;-;1,620.97 ;-
01/1991;20.95 ;21.94 ;25.16 ;-;-;1,140.27 ;-
02/1991;20.20 ;18.49 ;31.32 ;-;-;752.02 ;-,
03/1991;11.79 ;3.87 ;49.57 ;-;-;422.84 ;-,
04/1991;5.01 ;5.28 ;1.05 ;-;-;375.18 ;-,
05/1991;6.68 ;4.60 ;7.37 ;-;-;374.48 ;-,
06/1991;10.83 ;11.23 ;10.45 ;-;-;372.10 ;-,
07/1991;12.14 ;12.79 ;11.07 ;-;-;369.96 ;-,
08/1991;15.62 ;-;-;-;-;381.41 ;-,
09/1991;15.62 ;37.85 ;25.33 ;-;-;386.55 ;-,
10/1991;21.08 ;25.61 ;18.92 ;-;-;411.52 ;-,
11/1991;26.48 ;30.91 ;20.23 ;-;-;448.31 ;-,
12/1991;24.15 ;21.66 ;17.92 ;-;-;472.70 ;-,
01/1992;25.92 ;24.30 ;24.19 ;-;25.84 ;497.32 ;-,
02/1992;24.48 ;24.68 ;23.78 ;-;22.17 ;515.13 ;-,
03/1992;21.62 ;20.89 ;22.99 ;-;20.74 ;567.21 ;-,
04/1992;20.84 ;18.91 ;21.74 ;-;20.14 ;662.16 ;-,
05/1992;24.50 ;25.34 ;21.95 ;-;26.93 ;785.81 ;-,
06/1992;20.85 ;20.57 ;18.79 ;-;19.07 ;857.68 ;-,
07/1992;22.08 ;20.81 ;22.96 ;-;22.00 ;937.94 ;-,
08/1992;22.38 ;22.93 ;22.25 ;-;18.58 ;996.37 ;-,
09/1992;23.98 ;25.72 ;21.31 ;-;25.03 ;1,081.70 ;-
10/1992;26.07 ;26.93 ;24.15 ;-;22.65 ;1,130.94 ;-
11/1992;22.89 ;23.18 ;20.85 ;-;20.42 ;1,104.20 ;-
12/1992;25.58 ;27.42 ;23.09 ;-;22.43 ;1,119.10 ;-
01/1993;28.77 ;32.80 ;23.24 ;-;31.20 ;1,161.79 ;-
02/1993;24.79 ;23.92 ;22.92 ;-;23.54 ;1,168.49 ;-
03/1993;27.58 ;26.02 ;24.73 ;-;28.86 ;1,229.71 ;-
04/1993;28.37 ;27.92 ;27.59 ;-;25.00 ;1,316.42 ;-
05/1993;26.78 ;26.31 ;26.77 ;-;28.41 ;1,348.52 ;-
06/1993;30.37 ;29.70 ;30.80 ;-;29.11 ;1,467.33 ;-
07/1993;31.01 ;28.56 ;31.38 ;-;28.78 ;1,581.70 ;-
08/1993;33.34 ;33.50 ;35.54 ;-;33.50 ;1,730.67 ;-
09/1993;35.63 ;35.28 ;33.73 ;-;36.36 ;1,893.13 ;-
10/1993;34.12 ;33.78 ;34.94 ;-;32.08 ;2,031.27 ;-
11/1993;36.00 ;36.50 ;33.93 ;-;33.01 ;2,258.68 ;-
12/1993;37.73 ;39.37 ;36.43 ;-;33.85 ;2,477.15 ;-
01/1994;41.32 ;46.80 ;33.59 ;-;42.08 ;2,693.84 ;-
02/1994;40.57 ;40.40 ;40.67 ;-;41.38 ;3,035.71 ;-
03/1994;43.08 ;44.26 ;46.36 ;-;43.95 ;3,417.39 ;-
04/1994;42.86 ;43.19 ;44.07 ;-;41.83 ;3,828.49 ;-
05/1994;42.73 ;40.21 ;43.00 ;-;45.42 ;4,331.19 ;-
06/1994;48.24 ;52.15 ;41.39 ;-;43.79 ;4,922.60 ;-
07/1994;7.75 ;10.03 ;0.68 ;-;4.46 ;4,005.08 ;-
08/1994;1.85 ;1.45 ;6.75 ;-;5.63 ;3,044.89 ;-
09/1994;1.40 ;0.13 ;7.04 ;-;4.95 ;2,253.15 ;-
10/1994;2.82 ;4.79 ;4.27 ;-;3.58 ;1,703.17 ;-
11/1994;2.96 ;4.65 ;4.49 ;-;4.01 ;1,267.54 ;-
12/1994;1.70 ;0.96 ;3.21 ;-;3.56 ;916.46 ;-,
01/1995;1.44 ;0.73 ;2.17 ;-;5.18 ;631.54 ;-,
02/1995;1.01 ;-0.06 ;3.65 ;-;3.09 ;426.83 ;-,
03/1995;1.62 ;1.44 ;3.82 ;-;3.83 ;274.78 ;-,
04/1995;2.49 ;1.99 ;4.24 ;-;4.29 ;169.05 ;-,
05/1995;2.10 ;0.51 ;2.94 ;-;6.91 ;91.79 ;-,
06/1995;2.18 ;-0.25 ;4.32 ;-;4.38 ;33.03 ;-,
07/1995;2.46 ;0.98 ;4.83 ;-;3.90 ;27.45 ;-,
08/1995;1.02 ;0.57 ;4.46 ;-;3.31 ;26.36 ;-,
09/1995;1.17 ;-0.03 ;4.51 ;-;2.85 ;25.69 ;-,
10/1995;1.40 ;0.32 ;4.58 ;-;2.47 ;24.21 ;-,
11/1995;1.51 ;1.07 ;6.13 ;-;2.71 ;22.59 ;-,
12/1995;1.65 ;0.86 ;6.22 ;-;2.28 ;22.41 ;-,
01/1996;1.46 ;1.28 ;2.16 ;-;2.20 ;21.97 ;-,
02/1996;0.71 ;0.11 ;1.98 ;-;2.32 ;21.99 ;-,
03/1996;0.29 ;-0.02 ;1.96 ;-;1.63 ;20.55 ;-,
04/1996;0.93 ;0.50 ;1.81 ;-;1.40 ;19.17 ;-,
05/1996;1.28 ;0.67 ;1.94 ;-;2.21 ;17.49 ;-,
06/1996;1.33 ;0.67 ;2.19 ;-;1.54 ;16.26 ;-,
07/1996;1.20 ;0.52 ;1.89 ;-;1.41 ;14.84 ;-,
08/1996;0.50 ;-0.68 ;2.24 ;-;1.43 ;14.21 ;-,
09/1996;0.02 ;-0.58 ;1.54 ;-;1.02 ;13.26 ;-,
10/1996;0.38 ;0.11 ;1.47 ;-;0.62 ;12.02 ;-,
11/1996;0.34 ;-0.37 ;1.36 ;-;0.83 ;10.75 ;-,
12/1996;0.33 ;-0.48 ;1.22 ;-;0.73 ;9.56 ;-,
01/1997;0.81 ;0.97 ;1.06 ;-;1.02 ;9.39 ;-,
02/1997;0.45 ;0.72 ;0.94 ;-;0.99 ;8.82 ;-,
03/1997;0.68 ;1.22 ;1.13 ;-;0.45 ;8.99 ;-,
04/1997;0.60 ;-0.16 ;1.60 ;-;0.73 ;8.58 ;-,
05/1997;0.11 ;-0.92 ;0.92 ;-;0.87 ;7.71 ;-,
06/1997;0.35 ;-0.34 ;0.60 ;-;0.59 ;7.02 ;-,
07/1997;0.18 ;-0.52 ;0.41 ;-;0.57 ;6.08 ;-,
08/1997;-0.03 ;-0.57 ;0.42 ;-;0.39 ;5.59 ;-,
09/1997;0.10 ;-0.21 ;0.25 ;-;0.12 ;5.50 ;-,
10/1997;0.29 ;0.27 ;0.27 ;-;0.19 ;5.42 ;-,
11/1997;0.15 ;0.17 ;0.29 ;-;0.05 ;5.27 ;-,
12/1997;0.57 ;0.59 ;0.31 ;-;0.08 ;5.22 ;-,
01/1998;0.85 ;1.24 ;0.30 ;-;0.40 ;4.73 ;-,
02/1998;0.54 ;0.62 ;0.26 ;-;0.52 ;4.69 ;-,
03/1998;0.49 ;0.79 ;0.38 ;-;0.16 ;4.52 ;-,
04/1998;0.45 ;0.85 ;0.29 ;-;0.03 ;3.85 ;-,
05/1998;0.72 ;1.38 ;0.13 ;-;0.56 ;3.95 ;-,
06/1998;0.15 ;0.13 ;0.05 ;-;-0.18 ;3.41 ;-,
07/1998;-0.28 ;-0.99 ;0.00 ;-;0.26 ;3.06 ;-,
08/1998;-0.49 ;-1.20 ;-0.06 ;-;0.00 ;2.55 ;-,
09/1998;-0.31 ;-0.47 ;-0.02 ;-;-0.14 ;2.27 ;-,
10/1998;0.11 ;-0.02 ;-0.09 ;-;-0.10 ;2.05 ;-,
11/1998;-0.18 ;-0.46 ;-0.20 ;-;0.00 ;1.76 ;-,
12/1998;0.42 ;0.10 ;0.44 ;-;0.04 ;1.65 ;-,
01/1999;0.65 ;0.90 ;0.06 ;-;0.49 ;1.65 ;-,
02/1999;1.29 ;2.71 ;0.41 ;-;-0.36 ;2.24 ;-,
03/1999;1.28 ;2.01 ;0.79 ;-;0.26 ;3.02 ;-,
04/1999;0.47 ;-0.23 ;0.66 ;-;0.10 ;3.35 ;-,
05/1999;0.05 ;-0.95 ;0.18 ;-;0.22 ;3.14 ;-,
06/1999;0.07 ;-1.28 ;0.75 ;-;0.21 ;3.32 ;-,
07/1999;0.74 ;-0.24 ;1.21 ;-;0.04 ;4.57 ;-,
08/1999;0.55 ;0.13 ;0.84 ;1.41 ;0.10 ;5.69 ;-,
09/1999;0.39 ;0.34 ;0.20 ;0.55 ;-0.10 ;6.25 ;-,
10/1999;0.96 ;1.77 ;0.02 ;3.24 ;0.01 ;7.50 ;-,
11/1999;0.94 ;1.35 ;0.43 ;2.15 ;0.09 ;8.65 ;-,
12/1999;0.74 ;1.41 ;0.41 ;0.33 ;0.28 ;8.94 ;-,
01/2000;0.61 ;0.84 ;0.19 ;0.39 ;0.69 ;8.85 ;-,
02/2000;0.05 ;-0.25 ;0.01 ;0.40 ;0.38 ;7.86 ;-,
03/2000;0.13 ;-0.46 ;0.17 ;1.68 ;-0.11 ;6.92 ;-,
04/2000;0.09 ;-0.36 ;0.00 ;0.51 ;1.47 ;6.77 ;-,
05/2000;-0.05 ;-0.67 ;0.45 ;0.13 ;-0.07 ;6.47 ;-,
06/2000;0.30 ;0.11 ;-0.03 ;0.03 ;0.00 ;6.51 ;-,
07/2000;1.39 ;1.78 ;1.29 ;2.98 ;0.04 ;7.06 ;-,
08/2000;1.21 ;2.07 ;0.43 ;2.70 ;0.24 ;7.86 ;-,
09/2000;0.43 ;0.53 ;0.14 ;-0.01 ;0.13 ;7.77 ;-,
10/2000;0.16 ;0.16 ;0.04 ;0.13 ;0.10 ;6.65 ;-,
11/2000;0.29 ;-0.07 ;0.74 ;0.71 ;0.08 ;5.99 ;-,
12/2000;0.55 ;-0.48 ;0.96 ;1.87 ;0.14 ;5.97 ;-,
01/2001;0.77 ;0.63 ;0.65 ;0.72 ;0.50 ;5.92 ;-,
02/2001;0.49 ;0.05 ;0.38 ;0.77 ;0.73 ;6.27 ;-,
03/2001;0.48 ;1.17 ;0.15 ;0.12 ;0.06 ;6.44 ;-,
04/2001;0.84 ;1.80 ;0.64 ;-0.32 ;0.62 ;6.61 ;-,
05/2001;0.57 ;0.58 ;1.06 ;0.30 ;0.38 ;7.04 ;-,
06/2001;0.60 ;0.10 ;1.02 ;1.34 ;0.30 ;7.35 ;-,
07/2001;1.11 ;0.67 ;1.97 ;2.08 ;0.77 ;7.05 ;-,
08/2001;0.79 ;0.83 ;0.78 ;0.64 ;0.56 ;6.41 ;-,
09/2001;0.44 ;0.39 ;0.55 ;0.07 ;0.20 ;6.46 ;-,
10/2001;0.94 ;1.15 ;0.67 ;0.98 ;0.34 ;7.19 ;-,
11/2001;1.29 ;1.31 ;0.68 ;0.35 ;0.08 ;7.61 ;-,
12/2001;0.74 ;0.56 ;0.48 ;0.69 ;0.22 ;7.67 ;-,
01/2002;1.07 ;0.85 ;2.81 ;-1.50 ;0.19 ;7.62 ;-,
02/2002;0.31 ;0.20 ;0.23 ;-0.50 ;1.22 ;7.51 ;-,
03/2002;0.62 ;0.39 ;0.93 ;1.04 ;0.15 ;7.75 ;-,
04/2002;0.68 ;-0.32 ;1.40 ;2.02 ;0.50 ;7.98 ;-,
05/2002;0.09 ;-0.59 ;0.28 ;0.33 ;0.44 ;7.77 ;-,
06/2002;0.61 ;0.08 ;1.09 ;0.32 ;0.15 ;7.66 ;-,
07/2002;1.15 ;1.05 ;1.80 ;0.55 ;0.69 ;7.51 ;-,
08/2002;0.86 ;1.94 ;0.43 ;-0.15 ;0.40 ;7.46 ;-,
09/2002;0.83 ;1.96 ;-0.39 ;0.34 ;0.43 ;7.93 ;-,
10/2002;1.57 ;2.79 ;0.30 ;1.20 ;0.17 ;8.45 ;-,
11/2002;3.39 ;5.85 ;2.02 ;4.68 ;0.40 ;10.93 ;-,
12/2002;2.70 ;3.91 ;1.42 ;1.33 ;0.67 ;12.53 ;-,
01/2003;2.47 ;2.15 ;1.76 ;4.20 ;1.03 ;14.47 ;-,
02/2003;1.46 ;1.22 ;0.18 ;3.00 ;1.69 ;15.85 ;-,
03/2003;1.37 ;1.66 ;1.09 ;0.70 ;0.49 ;16.57 ;-,
04/2003;1.38 ;1.01 ;1.95 ;0.50 ;0.29 ;16.77 ;-,
05/2003;0.99 ;0.63 ;2.27 ;-0.32 ;0.30 ;17.24 ;-,
06/2003;-0.06 ;-0.34 ;0.52 ;-1.45 ;0.48 ;16.57 ;-,
07/2003;0.04 ;-0.67 ;0.80 ;-0.68 ;0.52 ;15.43 ;-,
08/2003;0.18 ;-0.27 ;1.00 ;0.12 ;0.61 ;15.07 ;-,
09/2003;0.82 ;0.78 ;1.17 ;0.68 ;0.41 ;15.14 ;-,
10/2003;0.39 ;0.46 ;0.44 ;-0.39 ;0.42 ;13.98 ;-,
11/2003;0.37 ;0.25 ;0.29 ;0.15 ;0.39 ;11.02 ;-,
12/2003;0.54 ;0.39 ;0.22 ;0.67 ;0.46 ;9.30 ;-,
01/2004;0.83 ;0.88 ;1.16 ;0.79 ;0.62 ;7.71 ;-,
02/2004;0.39 ;0.15 ;0.29 ;0.52 ;1.90 ;6.69 ;-,
03/2004;0.57 ;0.43 ;0.59 ;-0.08 ;0.49 ;5.89 ;-,
04/2004;0.41 ;-0.34 ;0.82 ;0.12 ;0.30 ;5.26 ;-,
05/2004;0.40 ;0.23 ;0.62 ;0.54 ;0.30 ;5.15 ;-,
06/2004;0.50 ;0.72 ;0.20 ;1.58 ;0.26 ;6.06 ;-,
07/2004;0.73 ;0.67 ;1.28 ;1.03 ;0.49 ;6.81 ;-,
08/2004;0.50 ;0.85 ;0.34 ;1.21 ;0.59 ;7.18 ;-,
09/2004;0.17 ;-0.19 ;0.30 ;0.36 ;0.23 ;6.70 ;-,
10/2004;0.17 ;-0.23 ;0.46 ;0.98 ;0.33 ;6.86 ;-,
11/2004;0.44 ;-0.01 ;0.36 ;1.74 ;0.37 ;7.24 ;-,
12/2004;0.86 ;0.65 ;0.50 ;1.71 ;0.60 ;7.60 ;-,
01/2005;0.57 ;0.78 ;0.59 ;0.60 ;0.46 ;7.41 ;-,
02/2005;0.44 ;0.49 ;0.44 ;0.13 ;1.82 ;7.39 ;-,
03/2005;0.73 ;0.26 ;0.85 ;1.33 ;0.51 ;7.54 ;-,
04/2005;0.91 ;0.81 ;0.83 ;1.08 ;0.35 ;8.07 ;-,
05/2005;0.70 ;0.65 ;0.65 ;-0.04 ;0.28 ;8.05 ;-,
06/2005;-0.11 ;-0.67 ;0.33 ;-0.29 ;0.50 ;7.27 ;-,
07/2005;0.03 ;-0.77 ;0.04 ;0.62 ;0.59 ;6.57 ;-,
08/2005;0.00 ;-0.73 ;0.41 ;0.41 ;0.44 ;6.02 ;-,
09/2005;0.15 ;-0.25 ;0.61 ;0.86 ;0.44 ;6.04 ;-,
10/2005;0.58 ;0.27 ;0.45 ;2.21 ;0.56 ;6.36 ;-,
11/2005;0.54 ;0.88 ;0.64 ;0.66 ;0.41 ;6.22 ;-,
12/2005;0.40 ;0.27 ;0.42 ;0.24 ;0.22 ;5.69 ;-,
01/2006;0.38 ;0.11 ;-0.01 ;1.52 ;0.68 ;5.70 ;-,
02/2006;0.23 ;-0.28 ;0.32 ;0.76 ;1.54 ;5.51 ;-,
03/2006;0.27 ;-0.24 ;0.58 ;1.13 ;0.40 ;5.32 ;-,
04/2006;0.12 ;-0.27 ;0.58 ;-0.01 ;0.33 ;4.63 ;-,
05/2006;0.13 ;-0.03 ;0.33 ;-0.42 ;0.33 ;4.23 ;-,
06/2006;-0.07 ;-0.61 ;0.41 ;-0.93 ;0.17 ;4.03 ;-,
07/2006;0.11 ;0.09 ;-0.02 ;0.37 ;0.36 ;3.97 ;-,
08/2006;-0.02 ;0.07 ;0.11 ;-0.32 ;0.36 ;3.84 ;-,
09/2006;0.16 ;0.08 ;0.42 ;-0.01 ;0.38 ;3.70 ;-,
10/2006;0.43 ;0.88 ;0.20 ;-0.13 ;0.43 ;3.26 ;-,
11/2006;0.42 ;1.05 ;-0.08 ;-0.09 ;0.19 ;3.02 ;-,
12/2006;0.62 ;0.39 ;0.19 ;1.14 ;0.19 ;3.14 ;-,
01/2007;0.49 ;0.84 ;0.07 ;0.62 ;0.48 ;2.99 ;-,
02/2007;0.42 ;0.78 ;0.19 ;0.07 ;1.39 ;3.02 ;-,
03/2007;0.44 ;0.98 ;0.26 ;0.22 ;0.38 ;2.96 ;-,
04/2007;0.26 ;0.03 ;0.39 ;0.31 ;0.18 ;3.00 ;-,
05/2007;0.26 ;0.16 ;0.19 ;0.23 ;0.26 ;3.18 ;-,
06/2007;0.31 ;1.09 ;0.25 ;-0.40 ;0.23 ;3.69 ;-,
07/2007;0.32 ;1.27 ;-0.74 ;-0.08 ;0.27 ;3.74 ;-,
08/2007;0.59 ;1.39 ;0.05 ;0.05 ;0.48 ;4.18 ;-,
09/2007;0.25 ;0.44 ;0.54 ;-0.16 ;0.20 ;4.15 ;-,
10/2007;0.30 ;0.52 ;-0.02 ;0.12 ;0.34 ;4.12 ;-,
11/2007;0.43 ;0.73 ;0.41 ;0.38 ;0.38 ;4.19 ;-,
12/2007;0.97 ;2.06 ;0.16 ;0.71 ;0.47 ;4.46 ;-,
01/2008;0.69 ;1.52 ;0.16 ;0.40 ;0.43 ;4.56 ;-,
02/2008;0.48 ;0.60 ;0.20 ;0.06 ;1.45 ;4.61 ;-,
03/2008;0.51 ;0.89 ;0.65 ;0.42 ;0.30 ;4.73 ;-,
04/2008;0.64 ;1.29 ;0.19 ;-0.05 ;0.32 ;5.04 ;-,
05/2008;0.96 ;1.95 ;0.32 ;0.33 ;0.56 ;5.58 ;-,
