Date;188 - National Consumer Price Index (INPC) - Monthly % var.;1635 - Broad national consumer price index (IPCA) - Food and beverages - Monthly % var.;1636 - Broad national consumer price index (IPCA) - Housing - Monthly % var.;1639 - Broad national consumer price index (IPCA) - Transport - Monthly % var.;10844 - Broad National Consumer Price Index (IPCA) - Services - Monthly % var.;13522 - Broad national consumer price index (IPCA) - in 12 months - %;24369 - Unemployment rate - PNADC - %,
12/2013;0.72 ;0.89 ;0.52 ;1.85 ;1.16 ;5.91 ;6.3,
01/2014;0.63 ;0.84 ;0.55 ;-0.03 ;0.47 ;5.59 ;6.5,
02/2014;0.64 ;0.56 ;0.77 ;-0.05 ;1.24 ;5.68 ;6.8,
03/2014;0.82 ;1.92 ;0.33 ;1.38 ;1.09 ;6.15 ;7.2,
04/2014;0.78 ;1.19 ;0.87 ;0.32 ;0.44 ;6.28 ;7.2,
05/2014;0.60 ;0.58 ;0.61 ;-0.45 ;0.30 ;6.37 ;7.1,
06/2014;0.26 ;-0.11 ;0.55 ;0.37 ;1.10 ;6.52 ;6.9,
07/2014;0.13 ;-0.15 ;1.20 ;-0.98 ;-0.05 ;6.50 ;7.0,
08/2014;0.18 ;-0.15 ;0.94 ;0.33 ;0.59 ;6.51 ;7.0,
09/2014;0.49 ;0.78 ;0.77 ;0.63 ;0.77 ;6.75 ;6.9,
10/2014;0.38 ;0.46 ;0.68 ;0.39 ;0.43 ;6.59 ;6.7,
11/2014;0.53 ;0.77 ;0.69 ;0.43 ;0.46 ;6.56 ;6.6,
12/2014;0.62 ;1.08 ;0.51 ;1.38 ;1.20 ;6.41 ;6.6,
01/2015;1.48 ;1.48 ;2.42 ;1.83 ;0.87 ;7.14 ;6.9,
02/2015;1.16 ;0.81 ;1.22 ;2.20 ;1.07 ;7.70 ;7.5,
03/2015;1.51 ;1.17 ;5.29 ;0.46 ;0.58 ;8.13 ;8.0,
04/2015;0.71 ;0.97 ;0.93 ;0.11 ;0.72 ;8.17 ;8.1,
05/2015;0.99 ;1.37 ;1.22 ;-0.29 ;0.20 ;8.47 ;8.3,
06/2015;0.77 ;0.63 ;0.86 ;0.70 ;0.79 ;8.89 ;8.4,
07/2015;0.58 ;0.65 ;1.52 ;0.15 ;0.54 ;9.56 ;8.7,
